Date,Open,High,Low,Close
04/04/2023,"132.42","133.16","131.52","131.72"
04/03/2023,"132.78","133.76","132.21","132.42"
03/31/2023,"132.71","133.60","132.59","132.76"
03/30/2023,"132.86","132.96","132.22","132.72"
03/29/2023,"130.88","132.89","130.77","132.87"
03/28/2023,"131.57","131.61","130.41","130.88"
03/27/2023,"130.54","131.78","130.51","131.57"
03/24/2023,"130.84","130.93","129.65","130.71"
03/23/2023,"131.44","131.67","130.32","130.85"
03/22/2023,"132.48","133.00","131.01","131.44"
03/21/2023,"131.32","132.63","131.04","132.49"
03/20/2023,"131.85","132.65","130.55","131.32"
03/17/2023,"133.75","133.77","131.55","131.83"
03/16/2023,"133.42","133.86","131.72","133.75"
03/15/2023,"134.23","135.12","132.23","133.43"
03/14/2023,"133.21","134.90","133.06","134.23"
03/13/2023,"135.00","135.05","132.29","133.21"
03/10/2023,"136.15","136.99","134.14","135.00"
03/09/2023,"137.36","137.38","135.95","136.14"
03/08/2023,"137.15","137.92","136.49","137.35"
03/07/2023,"135.93","137.20","135.56","137.15"
03/06/2023,"135.98","136.20","135.38","135.92"
03/03/2023,"136.77","136.80","135.75","135.85"
03/02/2023,"136.20","137.11","136.02","136.77"
03/01/2023,"136.22","136.48","135.26","136.20"
02/28/2023,"136.20","136.93","135.74","136.22"
02/27/2023,"136.48","136.52","135.93","136.23"
02/24/2023,"134.69","136.52","134.06","136.46"
02/23/2023,"134.70","135.36","134.50","134.68"
02/22/2023,"135.02","135.06","134.38","134.93"
02/21/2023,"134.30","135.23","134.16","135.02"
02/20/2023,"134.11","134.53","133.93","134.26"
02/17/2023,"133.94","135.13","133.94","134.10"
02/16/2023,"134.14","134.51","133.61","133.94"
02/15/2023,"133.16","134.36","132.55","134.17"
02/14/2023,"132.42","133.30","131.51","133.12"
02/13/2023,"131.43","132.90","131.16","132.40"
02/10/2023,"131.57","131.88","129.82","131.40"
02/09/2023,"131.41","131.83","130.35","131.54"
02/08/2023,"131.08","131.53","130.61","131.43"
02/07/2023,"132.66","132.72","130.48","131.08"
02/06/2023,"131.20","132.90","131.18","132.65"
02/03/2023,"128.71","131.22","128.33","131.18"
02/02/2023,"128.96","129.11","128.09","128.72"
02/01/2023,"130.09","130.41","128.55","128.95"
01/31/2023,"130.42","130.53","129.75","130.11"
01/30/2023,"129.89","130.62","129.21","130.45"
01/27/2023,"130.21","130.28","129.51","129.85"
01/26/2023,"129.60","130.62","129.04","130.22"
01/25/2023,"130.17","130.58","129.28","129.59"
01/24/2023,"130.66","131.12","129.73","130.17"
01/23/2023,"129.56","130.88","129.06","130.67"
01/20/2023,"128.43","130.61","128.36","129.50"
01/19/2023,"128.91","128.96","127.77","128.43"
01/18/2023,"128.13","131.58","127.58","128.92"
01/17/2023,"128.58","129.15","128.00","128.14"
01/16/2023,"127.90","128.87","127.23","128.57"
01/13/2023,"129.29","129.43","127.49","127.86"
01/12/2023,"132.47","132.52","128.89","129.30"
01/11/2023,"132.26","132.88","132.07","132.49"
01/10/2023,"131.88","132.48","131.41","132.25"
01/09/2023,"132.09","132.66","131.31","131.89"
01/06/2023,"133.41","134.76","132.00","132.11"
01/05/2023,"132.63","134.06","131.68","133.40"
01/04/2023,"131.03","132.73","129.94","132.63"
01/03/2023,"130.74","131.37","129.77","131.01"
01/02/2023,"131.12","131.12","130.63","130.74"
12/30/2022,"133.02","133.10","130.78","131.12"
12/29/2022,"134.46","134.46","132.88","133.03"
12/28/2022,"133.50","134.50","133.38","134.48"
12/27/2022,"132.88","133.60","132.64","133.50"
12/26/2022,"132.77","133.24","132.31","132.88"
12/23/2022,"132.34","133.14","132.17","132.79"
12/22/2022,"132.45","132.72","131.66","132.35"
12/21/2022,"131.72","132.51","131.50","132.46"
12/20/2022,"136.91","137.48","130.59","131.70"
12/19/2022,"136.71","137.19","135.75","136.91"
12/16/2022,"137.71","138.62","136.30","136.70"
12/15/2022,"135.48","138.18","135.24","137.77"
12/14/2022,"135.62","135.99","134.67","135.47"
12/13/2022,"137.66","137.97","134.68","135.59"
12/12/2022,"136.57","137.86","136.50","137.64"
12/09/2022,"136.68","136.87","135.61","136.57"
12/08/2022,"136.62","137.23","136.26","136.70"
12/07/2022,"137.04","137.86","136.23","136.62"
12/06/2022,"136.77","137.43","135.99","137.06"
12/05/2022,"134.32","136.85","134.14","136.79"
12/02/2022,"135.33","135.97","133.64","134.31"
12/01/2022,"138.06","138.12","135.21","135.34"
11/30/2022,"138.68","139.89","137.66","138.05"
11/29/2022,"138.92","139.36","137.87","138.71"
11/28/2022,"139.13","139.43","137.50","138.93"
11/25/2022,"138.61","139.59","138.39","139.19"
11/24/2022,"139.66","139.66","138.07","138.62"
11/23/2022,"141.22","141.61","139.19","139.59"
11/22/2022,"142.14","142.22","141.10","141.22"
11/21/2022,"140.35","142.26","140.17","142.14"
11/18/2022,"140.20","140.49","139.64","140.39"
11/17/2022,"139.52","140.75","138.89","140.20"
11/16/2022,"139.29","140.29","138.75","139.54"
11/15/2022,"139.89","140.61","137.79","139.31"
11/14/2022,"138.80","140.79","138.56","139.88"
11/11/2022,"140.99","142.48","138.48","138.80"
11/10/2022,"146.41","146.60","140.21","140.97"
11/09/2022,"145.69","146.79","145.18","146.41"
11/08/2022,"146.61","146.93","145.32","145.69"
11/07/2022,"146.61","147.56","146.10","146.61"
11/04/2022,"148.25","148.41","146.56","146.62"
11/03/2022,"147.89","148.44","147.12","148.28"
11/02/2022,"148.26","148.37","145.67","147.93"
11/01/2022,"148.74","148.83","146.99","148.24"
10/31/2022,"147.46","148.86","143.65","148.74"
10/28/2022,"146.29","147.86","145.99","147.48"
10/27/2022,"146.37","146.94","145.12","146.32"
10/26/2022,"147.93","148.41","146.23","146.39"
10/25/2022,"148.98","149.10","147.53","147.93"
10/24/2022,"147.66","149.68","145.53","149.01"
10/21/2022,"150.14","151.95","146.22","147.68"
10/20/2022,"149.88","150.28","149.56","150.15"
10/19/2022,"149.25","149.92","149.13","149.90"
10/18/2022,"149.04","149.32","148.66","149.23"
10/17/2022,"148.79","149.09","148.44","149.04"
10/14/2022,"147.15","148.89","147.04","148.75"
10/13/2022,"146.92","147.68","146.52","147.22"
10/12/2022,"145.86","146.97","145.70","146.89"
10/11/2022,"145.72","145.90","145.43","145.86"
10/10/2022,"145.40","145.84","145.24","145.72"
10/07/2022,"145.14","145.44","144.73","145.32"
10/06/2022,"144.66","145.14","144.40","145.14"
10/05/2022,"144.12","144.85","143.54","144.69"
10/04/2022,"144.55","144.94","143.90","144.14"
10/03/2022,"144.74","145.20","144.16","144.56"
09/30/2022,"144.41","144.82","144.21","144.72"
09/29/2022,"144.30","144.79","144.07","144.42"
09/28/2022,"144.80","144.87","143.92","144.12"
09/27/2022,"144.75","144.92","144.06","144.81"
09/26/2022,"143.34","144.79","143.26","144.74"
09/23/2022,"142.37","143.46","141.77","143.34"
09/22/2022,"144.07","145.89","140.36","142.37"
09/21/2022,"143.73","144.69","143.35","144.08"
09/20/2022,"143.21","143.92","142.95","143.72"
09/19/2022,"142.94","143.64","142.65","143.20"
09/16/2022,"143.51","143.70","142.86","142.93"
09/15/2022,"143.15","143.81","142.80","143.50"
09/14/2022,"144.58","144.96","142.56","143.16"
09/13/2022,"142.84","144.68","141.66","144.56"
09/12/2022,"142.51","143.49","142.04","142.84"
09/09/2022,"144.11","144.12","141.51","142.58"
09/08/2022,"143.75","144.53","143.32","144.11"
09/07/2022,"142.79","144.99","142.73","143.75"
09/06/2022,"140.59","143.08","140.26","142.79"
09/05/2022,"140.22","140.66","140.05","140.59"
09/02/2022,"140.17","140.80","139.88","140.20"
09/01/2022,"138.96","140.23","138.77","140.20"
08/31/2022,"138.80","139.00","138.28","138.95"
08/30/2022,"138.72","139.06","138.05","138.79"
08/29/2022,"137.67","139.01","137.57","138.72"
08/26/2022,"136.51","137.74","136.36","137.57"
08/25/2022,"137.13","137.20","136.32","136.50"
08/24/2022,"136.77","137.24","136.19","137.13"
08/23/2022,"137.47","137.71","135.82","136.75"
08/22/2022,"136.86","137.65","136.71","137.51"
08/19/2022,"135.89","137.23","135.73","136.93"
08/18/2022,"135.17","135.91","134.65","135.89"
08/17/2022,"134.22","135.50","133.92","135.06"
08/16/2022,"133.32","134.66","132.97","134.23"
08/15/2022,"133.44","133.60","132.58","133.32"
08/12/2022,"133.02","133.89","132.88","133.45"
08/11/2022,"132.89","133.31","131.79","133.01"
08/10/2022,"135.12","135.30","132.03","132.89"
08/09/2022,"135.00","135.21","134.68","135.16"
08/08/2022,"134.97","135.54","134.36","135.02"
08/05/2022,"132.91","135.50","132.53","135.01"
08/04/2022,"133.86","134.41","132.78","132.94"
08/03/2022,"133.17","134.55","132.30","133.86"
08/02/2022,"131.61","133.19","130.40","133.17"
08/01/2022,"133.25","133.57","131.60","131.61"
07/29/2022,"134.26","134.67","132.51","133.24"
07/28/2022,"136.59","136.70","134.21","134.25"
07/27/2022,"136.91","137.44","136.33","136.60"
07/26/2022,"136.68","136.97","136.29","136.94"
07/25/2022,"136.27","136.80","135.91","136.67"
07/22/2022,"137.35","137.96","135.60","136.10"
07/21/2022,"138.23","138.87","137.30","137.35"
07/20/2022,"138.20","138.37","137.91","138.27"
07/19/2022,"138.14","138.39","137.38","138.20"
07/18/2022,"138.54","138.62","137.90","138.14"
07/15/2022,"138.94","139.12","138.41","138.53"
07/14/2022,"137.43","139.39","137.31","138.95"
07/13/2022,"136.87","137.87","136.70","137.43"
07/12/2022,"137.44","137.53","136.49","136.87"
07/11/2022,"136.12","137.75","135.93","137.43"
07/08/2022,"136.00","136.56","135.35","136.10"
07/07/2022,"135.93","136.22","135.56","135.99"
07/06/2022,"135.88","135.99","134.96","135.93"
07/05/2022,"135.68","136.35","135.49","135.86"
07/04/2022,"135.23","135.77","134.79","135.70"
07/01/2022,"135.69","135.98","134.76","135.22"
06/30/2022,"136.59","136.82","135.55","135.69"
06/29/2022,"136.14","136.99","135.83","136.57"
06/28/2022,"135.45","136.39","135.12","136.15"
06/27/2022,"135.21","135.54","134.53","135.47"
06/24/2022,"134.95","135.40","134.36","135.21"
06/23/2022,"136.25","136.26","134.27","134.96"
06/22/2022,"136.61","136.72","135.68","136.24"
06/21/2022,"135.09","136.70","134.95","136.62"
06/20/2022,"134.98","135.42","134.55","135.09"
06/17/2022,"132.20","135.40","132.17","134.96"
06/16/2022,"133.83","134.68","131.49","132.17"
06/15/2022,"135.47","135.60","133.51","133.83"
06/14/2022,"134.42","135.47","133.88","135.47"
06/13/2022,"134.40","135.20","133.60","134.42"
06/10/2022,"134.36","134.49","133.38","134.42"
06/09/2022,"134.26","134.55","133.20","134.37"
06/08/2022,"132.59","134.48","132.56","134.26"
06/07/2022,"131.88","133.01","131.87","132.60"
06/06/2022,"130.88","132.01","130.44","131.89"
06/03/2022,"129.87","130.98","129.70","130.83"
06/02/2022,"130.15","130.25","129.52","129.88"
06/01/2022,"128.68","130.19","128.65","130.15"
05/31/2022,"127.58","128.89","127.53","128.68"
05/30/2022,"127.13","127.83","126.87","127.56"
05/27/2022,"127.16","127.25","126.68","127.11"
05/26/2022,"127.28","127.58","126.56","127.09"
05/25/2022,"126.83","127.50","126.67","127.27"
05/24/2022,"127.90","128.08","126.37","126.83"
05/23/2022,"127.94","128.06","127.16","127.90"
05/20/2022,"127.81","128.30","127.53","127.88"
05/19/2022,"128.23","128.94","127.03","127.82"
05/18/2022,"129.39","129.54","128.02","128.23"
05/17/2022,"129.17","129.77","128.84","129.36"
05/16/2022,"129.27","129.64","128.71","129.14"
05/13/2022,"128.32","129.45","128.28","129.22"
05/12/2022,"129.98","130.06","127.53","128.32"
05/11/2022,"130.45","130.82","129.49","129.98"
05/10/2022,"130.30","130.57","129.81","130.45"
05/09/2022,"130.51","131.34","130.12","130.30"
05/06/2022,"130.18","130.80","130.10","130.54"
05/05/2022,"129.09","130.56","128.76","130.16"
05/04/2022,"130.12","130.37","128.63","129.09"
05/03/2022,"130.15","130.30","129.72","130.14"
05/02/2022,"129.60","130.48","129.60","130.18"
04/29/2022,"130.86","130.96","129.32","129.85"
04/28/2022,"128.43","131.24","128.34","130.82"
04/27/2022,"127.23","128.59","127.01","128.42"
04/26/2022,"128.14","128.24","127.03","127.22"
04/25/2022,"128.61","128.86","127.53","128.14"
04/22/2022,"128.37","129.12","127.78","128.55"
04/21/2022,"127.87","128.71","127.81","128.39"
04/20/2022,"128.90","129.40","127.46","127.89"
04/19/2022,"126.99","128.98","126.97","128.89"
04/18/2022,"126.45","127.00","126.26","126.99"
04/15/2022,"125.88","126.67","125.87","126.45"
04/14/2022,"125.62","125.99","125.10","125.88"
04/13/2022,"125.39","126.29","125.35","125.66"
04/12/2022,"125.38","125.74","124.93","125.39"
04/11/2022,"124.30","125.76","124.08","125.39"
04/08/2022,"123.96","124.68","123.68","124.30"
04/07/2022,"123.80","124.00","123.47","123.97"
04/06/2022,"123.60","124.05","123.51","123.79"
04/05/2022,"122.80","123.67","122.41","123.60"
04/04/2022,"122.62","122.95","122.28","122.79"
